0	31031
1	23626
2	23626
3	28914
4	22567
5	24683
6	21863
7	29267
8	21863
9	22215
10	29620
11	22215
12	23273
13	21862
14	22215
15	21862
16	20452
17	21510
18	21862
19	23273
20	22214
21	26446
22	22215
23	21862
24	23978
25	23626
26	21510
27	20452
28	22568
29	24684
30	23626
31	22215
32	23273
33	22920
34	22920
35	23625
36	21862
37	22920
38	20804
39	26094
40	24683
41	27504
42	21862
43	25389
44	24331
45	23273
46	25388
47	25036
48	22920
49	24330
50	21510
51	21862
52	26446
53	23272
54	21862
55	22215
56	21509
57	24330
58	22215
59	23626
60	27151
61	21157
62	24331
63	24331
64	18336
65	11284
66	11636
67	7405
68	8463
69	14809
70	13399
71	8110
72	8463
73	9874
74	8463
75	11636
76	20452
77	18336
78	8110
79	8815
80	16926
81	8463
82	11989
83	15163
84	8815
85	10579
86	8463
87	8463
88	8815
89	9168
90	9168
91	8111
92	8462
93	9873
94	8110
95	13752
96	8815
97	8463
98	23273
99	8463
100	7405
101	17278
102	11284
103	10931
104	11636
105	12342
106	11637
107	12341
108	14458
109	12694
110	15868
111	12694
112	15162
113	11284
114	15515
115	13047
116	13399
117	13047
118	15867
119	13046
120	13047
121	16572
122	14810
123	13400
124	12341
125	14457
126	16221
127	13399
128	12694
129	12342
130	13400
131	11636
132	13047
133	14105
134	63471
135	28210
136	706
137	706
138	1058
139	706
140	705
141	705
142	705
143	705
144	706
145	706
146	1058
147	706
148	705
149	705
150	705
151	705
152	705
153	705
154	705
155	352
156	352
157	353
158	352
159	353
160	353
161	705
162	705
163	352
164	705
165	705
166	705
167	705
168	705
169	353
170	705
171	352
172	353
173	353
174	352
175	353
176	352
177	353
178	352
179	353
180	353
181	353
182	353
183	353
184	352
185	353
186	352
187	352
188	352
189	353
190	353
191	352
192	353
193	352
194	353
195	353
196	353
197	353
198	353
199	0
200	23273
201	24683
202	24330
203	24331
204	23978
205	25036
206	24331
207	24330
208	42314
209	25036
210	23978
211	25035
212	23978
213	23978
214	24683
215	22567
216	16220
217	8463
218	11283
219	8111
220	8463
221	8463
222	8463
223	9168
224	8463
225	8110
226	7052
227	11636
228	8463
229	9873
230	8110
231	9168
232	14810
233	8815
234	8463
235	8462
236	8462
237	7053
238	8110
239	9873
240	8462
241	8110
242	8463
243	8463
244	8110
245	8463
246	8463
247	18688
248	20100
249	12341
250	12694
251	13046
252	12342
253	12342
254	12694
255	10931
256	14458
257	12694
258	166082
259	12694
260	12342
261	21510
262	10226
263	14104
264	16221
265	13047
266	13047
267	12694
268	11989
269	16925
270	13047
271	13046
272	15516
273	11284
274	13399
275	12694
276	12695
277	12694
278	13047
279	12694
280	13047
281	12694
282	13047
283	12342
284	12694
285	12694
286	13752
287	12695
288	59592
289	37377
290	5642
291	705
292	705
293	705
294	705
295	353
296	705
297	705
298	705
299	705
300	352
301	706
302	706
303	706
304	352
305	706
306	705
307	705
308	705
309	705
310	706
311	705
312	705
313	705
314	705
315	706
316	705
317	706
318	705
319	352
320	706
321	705
322	705
323	705
324	352
325	353
326	705
327	706
328	706
329	705
330	353
331	706
332	352
333	706
334	705
335	705
336	706
337	705
338	706
339	705
340	706
341	705
342	706
343	705
344	705
345	705
346	353
347	706
348	705
349	705
350	705
351	705
352	706
353	705
354	705
355	705
356	706
357	705
358	706
359	705
360	705
361	705
362	706
363	705
364	353
365	706
366	705
367	705
368	705
369	706
370	705
371	705
372	705
373	705
374	705
375	706
376	705
377	705
378	706
379	706
380	705
381	706
382	705
383	705
384	705
385	705
386	706
387	706
388	705
389	705
390	705
391	706
392	705
393	706
394	706
395	705
396	353
397	705
398	353
399	705
400	705
401	706
402	353
403	705
404	353
405	706
406	353
407	705
408	705
409	705
410	705
411	706
412	705
413	705
414	705
415	705
416	705
417	706
418	352
419	706
420	705
421	705
422	352
423	705
424	705
425	705
426	705
427	705
428	706
429	705
430	705
431	705
432	705
433	705
434	705
435	706
436	705
437	705
438	705
439	705
440	353
441	706
442	352
443	706
444	353
445	706
446	706
447	705
448	353
449	705
450	705
451	705
452	705
453	706
454	705
455	705
456	705
457	706
458	705
459	705
460	705
461	706
462	705
463	353
464	353
465	353
466	353
467	705
468	705
469	705
470	706
471	705
472	705
473	705
474	705
475	705
476	706
477	705
478	706
479	705
480	705
481	706
482	705
483	352
484	352
485	706
486	705
487	705
488	706
489	705
490	352
491	353
492	705
493	705
494	706
495	705
496	706
497	706
498	705
499	705
